mah_id,mah_name,ilce_name,current_score,future_potential_score,predicted_score_5y,score_change_5y,future_class,growth_built_growth,growth_ntl_growth,growth_poi_vitality,growth_accessibility,growth_pop_dynamics,growth_urban_form,risk_flood_risk,risk_noise_risk,risk_heat_risk,risk_low_green,risk_overcrowding
akseki_aksahap,AKŞAHAP,Akseki,3.4793362271586714,20.72,0.55,-2.93,Risk Altinda,19.08,23.03,8.44,8.55,69.52,5.37,5.37,17.65,6.47,2.85,10.64
akseki_alacesme,ALAÇEŞME,Akseki,0.493601917163022,21.38,0.0,-0.49,Risk Altinda,33.88,45.72,3.78,11.18,10.42,22.7,10.09,17.65,27.08,21.16,38.6
akseki_asagiasiklar,AŞAĞIAŞIKLAR,Akseki,0.7756601555418919,8.66,0.0,-0.78,Risk Altinda,34.43,10.2,3.78,4.93,44.41,19.85,35.96,17.65,16.56,4.39,32.57
akseki_bademli,BADEMLİ,Akseki,15.52618014104268,15.57,12.08,-3.44,Risk Altinda,9.1,34.76,18.86,4.61,73.25,17.11,38.05,39.36,5.04,25.22,15.68
akseki_belenalan,BELENALAN,Akseki,1.7628639898679357,24.78,0.0,-1.76,Risk Altinda,36.07,43.31,13.49,12.39,7.68,23.25,23.68,17.65,16.67,6.36,38.05
akseki_bucakalan,BUCAKALAN,Akseki,0.0705145595947174,24.01,0.0,-0.07,Risk Altinda,25.66,37.28,3.78,22.92,71.49,26.64,41.78,17.65,23.79,25.99,25.33
akseki_bucakkisla,BUCAKKIŞLA,Akseki,0.9166892747313268,8.33,0.0,-0.92,Risk Altinda,1.43,27.3,23.36,11.84,33.5,13.16,32.57,17.65,12.72,18.31,0.71
akseki_buyukalan,BÜYÜKALAN,Akseki,27.46534183391261,54.93,28.45,0.99,Orta Potansiyel,41.12,59.43,50.33,51.64,42.32,39.36,41.67,43.64,38.93,35.42,46.27
akseki_ceceler,CECELER,Akseki,6.112497739180734,7.35,1.85,-4.27,Risk Altinda,40.68,8.33,8.88,4.39,1.43,40.68,32.24,17.65,4.71,32.89,41.45
akseki_cemerler,CEMERLER,Akseki,2.985734309995649,11.4,0.0,-2.99,Risk Altinda,43.31,8.0,12.94,30.7,17.98,39.04,43.2,17.65,44.08,20.07,39.8
akseki_cendeve,CENDEVE,Akseki,0.2115436787841523,12.5,0.0,-0.21,Risk Altinda,5.59,16.45,3.78,14.58,94.41,14.58,24.67,17.65,19.85,9.65,7.13
akseki_cevizli,CEVİZLİ,Akseki,27.606370953102044,47.81,27.39,-0.22,Orta Potansiyel,47.15,43.2,49.45,47.59,13.6,24.45,35.75,38.38,9.43,26.86,45.5
akseki_demirciler,DEMİRCİLER,Akseki,33.924760354430774,87.72,41.47,7.54,Yuksek Potansiyel,73.25,89.25,81.03,87.39,24.34,81.58,61.84,78.62,48.03,80.37,80.59
akseki_degirmenlik,DEĞİRMENLİK,Akseki,10.653260083175836,14.47,7.1,-3.55,Risk Altinda,39.58,25.66,21.05,4.17,6.03,6.91,30.92,17.65,0.44,26.97,35.86
akseki_dutluca,DUTLUCA,Akseki,1.1282329535154791,35.86,0.0,-1.13,Dusuk Potansiyel,13.27,64.47,3.78,29.17,86.95,43.53,45.72,17.65,30.04,48.57,15.02
akseki_dikmen,DİKMEN,Akseki,2.2564659070309583,12.39,0.0,-2.26,Risk Altinda,30.04,31.8,9.98,2.3,8.33,11.4,29.82,17.65,4.82,7.02,27.63
akseki_emirasiklar,EMİRAŞIKLAR,Akseki,2.7036760716167803,16.78,0.0,-2.7,Risk Altinda,24.12,17.54,45.18,24.89,30.59,37.83,40.02,17.65,43.86,36.07,27.96
akseki_erenyaka,ERENYAKA,Akseki,0.8461747151366092,6.14,0.0,-0.85,Risk Altinda,34.54,13.6,3.78,2.74,8.66,9.87,14.36,17.65,13.71,3.51,39.58
akseki_fakilar,FAKILAR,Akseki,23.459034183349893,94.08,32.27,8.82,Yuksek Potansiyel,71.38,86.07,61.84,80.59,35.42,84.98,29.28,17.65,58.11,50.22,76.54
akseki_geris,GERİŞ,Akseki,6.535585096749038,17.0,3.24,-3.3,Risk Altinda,19.41,14.69,26.86,25.88,19.63,3.62,0.77,17.65,4.93,4.61,29.82
akseki_gumusdamla,GÜMÜŞDAMLA,Akseki,6.982795261334861,4.93,2.48,-4.51,Risk Altinda,36.4,13.16,3.78,2.08,6.69,4.28,21.38,17.65,2.74,30.15,28.51
akseki_guneykaya,GÜNEYKAYA,Akseki,6.747128775533192,7.24,2.47,-4.28,Risk Altinda,5.15,16.67,3.78,5.15,80.92,0.99,17.87,17.65,16.01,3.73,16.45
akseki_gunyaka,GÜNYAKA,Akseki,2.844705190806215,23.68,0.21,-2.63,Risk Altinda,20.83,36.18,9.76,0.66,67.87,4.71,15.35,17.65,2.3,0.99,17.65
akseki_guzelsu,GÜZELSU,Akseki,5.125293904854691,5.92,0.72,-4.41,Risk Altinda,31.03,10.09,25.0,5.04,1.64,3.07,12.61,17.65,0.88,41.67,35.96
akseki_guclukoy,GÜÇLÜKÖY,Akseki,23.672431723591885,18.42,20.51,-3.16,Risk Altinda,29.06,5.92,38.93,25.22,41.01,17.65,17.76,38.16,15.35,17.0,32.46
akseki_haci_ilyas,HACI İLYAS,Akseki,27.53585639350733,84.54,34.44,6.91,Yuksek Potansiyel,45.39,78.18,64.69,72.15,14.69,53.51,0.55,17.65,20.61,23.57,58.55
akseki_hocakoy,HOCAKÖY,Akseki,5.266323024044126,4.17,0.68,-4.58,Risk Altinda,13.71,21.82,3.78,13.82,23.9,3.95,17.11,17.65,33.11,2.63,29.93
akseki_husamettinkoy,HÜSAMETTİNKÖY,Akseki,0.5641164767577396,11.29,0.0,-0.56,Risk Altinda,20.39,38.27,3.78,14.04,31.36,20.72,48.79,17.65,18.31,19.96,24.89
akseki_karakisla,KARAKIŞLA,Akseki,2.4680095858151105,4.5,0.0,-2.47,Risk Altinda,20.07,12.5,3.78,0.55,50.88,2.85,27.08,17.65,0.66,32.46,21.71
akseki_kepez,KEPEZ,Akseki,9.734716946986676,33.22,8.06,-1.68,Dusuk Potansiyel,27.96,40.79,9.43,9.54,85.09,6.03,4.06,17.65,28.95,5.15,13.38
akseki_mahmutlu,MAHMUTLU,Akseki,11.05407849518446,26.86,8.74,-2.31,Dusuk Potansiyel,31.58,11.62,35.96,25.11,54.93,17.43,25.55,17.65,13.49,10.2,29.5
akseki_mentesbey,MENTEŞBEY,Akseki,0.634631036352457,10.64,0.0,-0.63,Risk Altinda,14.04,14.91,3.78,3.29,75.55,0.44,13.82,17.65,11.62,0.0,9.21
akseki_minareli,MİNARELİ,Akseki,0.1410291191894349,7.57,0.0,-0.14,Risk Altinda,1.43,30.92,3.78,17.98,33.5,8.88,24.45,17.65,21.16,5.04,0.71
akseki_sadiklar,SADIKLAR,Akseki,3.6203653463481063,13.49,0.0,-3.62,Risk Altinda,14.8,10.96,11.51,16.89,49.45,28.29,24.56,17.65,2.85,4.28,21.38
akseki_salihler,SALİHLER,Akseki,5.68941038161243,10.09,1.7,-3.99,Risk Altinda,7.35,22.48,29.82,5.59,57.46,15.13,38.27,42.11,9.21,4.5,21.27
akseki_sarihacilar,SARIHACILAR,Akseki,29.52324109236426,83.11,36.15,6.62,Yuksek Potansiyel,36.73,73.9,58.22,63.93,86.62,55.92,35.31,17.65,25.22,29.39,33.99
akseki_sarihaliller,SARIHALİLLER,Akseki,0.2820582383788698,4.28,0.0,-0.28,Risk Altinda,17.43,31.47,3.78,1.64,35.31,14.47,38.38,17.65,40.02,23.79,25.22
manavgat_sevinckoy,SEVİNÇKÖY,Manavgat,2.1154367878415234,10.31,0.0,-2.12,Risk Altinda,3.73,28.29,11.84,0.0,97.04,0.22,30.15,17.65,27.96,21.71,1.86
akseki_susuzsahap,SUSUZŞAHAP,Akseki,2.044922228246805,8.99,0.0,-2.04,Risk Altinda,46.6,16.89,3.78,0.99,0.77,13.93,20.18,17.65,0.55,30.48,43.2
akseki_suleymaniye,SÜLEYMANİYE,Akseki,22.230602278848675,25.77,19.81,-2.42,Dusuk Potansiyel,30.81,23.79,27.08,36.4,23.03,34.43,33.22,39.8,4.17,22.59,36.84
akseki_sinanhoca,SİNANHOCA,Akseki,10.888926568977508,41.23,10.01,-0.88,Dusuk Potansiyel,21.6,30.04,28.73,29.28,85.96,28.73,17.65,17.65,18.86,4.93,14.36
akseki_taslica,TAŞLICA,Akseki,20.720112135968588,28.51,18.57,-2.15,Dusuk Potansiyel,29.61,24.67,47.81,31.36,38.82,24.12,31.25,46.82,21.49,12.61,39.47
akseki_yarpuz,YARPUZ,Akseki,14.019397721078262,6.36,9.66,-4.36,Risk Altinda,18.42,20.18,20.07,10.75,1.86,15.9,24.01,35.64,0.11,18.2,31.03
akseki_caltilicukur,ÇALTILIÇUKUR,Akseki,1.4102911918943488,8.0,0.0,-1.41,Risk Altinda,25.77,10.64,3.78,13.6,28.18,9.21,11.62,17.65,15.13,0.33,29.17
akseki_canakpinar,ÇANAKPINAR,Akseki,1.0577183939207615,4.06,0.0,-1.06,Risk Altinda,31.69,18.97,3.78,0.11,0.99,3.18,25.77,17.65,1.43,24.67,32.79
akseki_cinardibi,ÇINARDİBİ,Akseki,1.6923494302732185,26.54,0.0,-1.69,Dusuk Potansiyel,4.06,24.45,30.92,11.51,96.71,23.36,16.78,45.94,12.06,0.44,2.74
akseki_cukurkoy,ÇUKURKÖY,Akseki,7.641549104704835,20.29,4.67,-2.97,Risk Altinda,16.78,13.82,29.39,33.99,47.92,18.53,22.48,17.65,15.57,0.88,27.74
akseki_cimikoy,ÇİMİKÖY,Akseki,2.774190631211497,3.73,0.0,-2.77,Risk Altinda,30.15,24.12,3.78,1.21,0.11,3.84,23.79,17.65,0.0,54.93,31.8
ibradi_urunlu,ÜRÜNLÜ,İbradı,18.0053128956048,34.21,16.43,-1.58,Dusuk Potansiyel,32.02,18.75,38.6,28.95,64.36,7.57,13.71,17.65,14.8,6.8,21.6
aksu_alayli,ALAYLI,Aksu,28.84436619706827,67.54,32.35,3.51,Orta Potansiyel,85.86,77.3,60.2,55.92,5.37,61.95,69.85,61.62,76.32,55.48,74.89
aksu_altintas,ALTINTAŞ,Aksu,60.51174999964158,92.32,68.98,8.46,Yuksek Potansiyel,80.15,98.25,78.51,80.37,73.57,80.81,80.81,78.07,96.16,67.54,68.97
aksu_ataturk,ATATÜRK,Aksu,45.93755263136822,78.95,51.73,5.79,Yuksek Potansiyel,92.21,89.58,75.55,78.4,11.29,75.99,87.83,80.81,96.6,62.72,84.1
aksu_barbaros,BARBAROS,Aksu,51.86131578891664,72.04,56.27,4.41,Yuksek Potansiyel,79.28,62.72,71.82,70.39,54.61,72.48,86.62,76.21,64.58,75.0,64.91
aksu_boztepe,BOZTEPE,Aksu,39.89236842067203,17.21,36.61,-3.28,Risk Altinda,75.66,3.29,46.82,61.84,12.5,56.36,99.56,55.7,70.07,86.29,60.64
aksu_cumhuriyet,CUMHURİYET,Aksu,28.613684210331613,73.25,33.26,4.65,Yuksek Potansiyel,92.0,83.44,68.75,70.83,1.32,67.76,67.32,73.79,91.78,77.85,81.25
aksu_cihadiye,CİHADİYE,Aksu,44.11019736822952,63.38,46.79,2.68,Orta Potansiyel,85.31,53.62,74.67,76.1,21.16,74.01,77.96,79.28,92.98,72.37,78.51
aksu_dumanlar,DUMANLAR,Aksu,29.95229799839685,59.1,31.77,1.82,Orta Potansiyel,90.68,69.63,47.92,68.2,3.29,35.64,98.9,17.65,65.9,84.65,71.6
aksu_fatih,FATİH,Aksu,33.83828947340212,75.33,38.9,5.07,Yuksek Potansiyel,91.23,80.59,69.41,67.65,8.44,68.64,55.7,73.9,94.85,64.47,72.04
aksu_gokdere,GÖKDERE,Aksu,32.34922164553031,48.79,32.23,-0.12,Orta Potansiyel,89.25,63.16,54.28,45.83,2.63,45.39,87.39,59.76,79.17,72.92,73.36
aksu_guloluk,GÜLOLUK,Aksu,23.239992587012765,47.15,22.95,-0.29,Orta Potansiyel,67.21,54.39,42.43,55.81,9.54,52.96,80.15,17.65,63.82,60.42,56.25
aksu_hacialiler,HACIALİLER,Aksu,50.56421052578058,79.93,56.55,5.99,Yuksek Potansiyel,90.57,80.26,72.92,71.71,15.79,69.63,62.17,77.52,76.75,67.98,77.96
aksu_karacalli,KARAÇALLI,Aksu,31.58657894727652,68.86,35.36,3.77,Orta Potansiyel,81.14,80.37,69.52,66.45,19.52,68.42,86.84,59.87,85.42,75.11,73.9
aksu_karaoz,KARAÖZ,Aksu,31.328131949464787,33.33,29.66,-1.67,Dusuk Potansiyel,61.29,32.79,50.88,36.62,47.15,39.8,57.68,54.06,78.84,53.07,44.3
aksu_kayadibi,KAYADİBİ,Aksu,9.953298739779168,18.75,6.83,-3.13,Risk Altinda,37.5,34.32,40.68,35.96,20.29,18.09,55.48,17.65,68.2,41.56,34.98
aksu_kemeragzi,KEMERAĞZI,Aksu,53.15528947340258,75.0,58.16,5.0,Yuksek Potansiyel,85.09,89.04,77.08,69.41,13.71,80.15,96.27,76.32,75.55,83.44,77.74
aksu_konak,KONAK,Aksu,30.836342105177813,70.61,34.96,4.12,Yuksek Potansiyel,76.54,57.13,77.74,77.96,27.19,75.77,65.9,78.73,70.72,60.64,69.41
aksu_kumkoy,KUMKÖY,Aksu,35.58373205698528,49.78,35.56,-0.02,Orta Potansiyel,79.71,41.56,59.54,64.58,17.32,71.16,98.46,58.11,69.3,65.35,60.86
aksu_kundu,KUNDU,Aksu,46.07368420975719,66.89,49.45,3.38,Orta Potansiyel,89.58,78.07,65.79,65.68,12.72,63.27,99.23,70.29,74.45,88.49,68.42
aksu_kursunlu,KURŞUNLU,Aksu,38.445700518743166,60.75,40.59,2.15,Orta Potansiyel,80.81,75.99,56.47,56.03,5.15,48.79,64.58,66.78,83.99,62.39,67.21
aksu_macun,MACUN,Aksu,50.530657894481,91.12,58.75,8.22,Yuksek Potansiyel,87.72,82.24,80.15,76.64,57.35,78.18,47.15,76.97,90.57,64.8,76.32
aksu_mandirlar,MANDIRLAR,Aksu,35.38959210514991,73.03,39.99,4.61,Yuksek Potansiyel,78.29,82.89,66.67,71.82,20.18,63.71,75.0,70.61,82.46,56.03,67.65
aksu_murtuna,MURTUNA,Aksu,34.941401037660754,69.08,38.76,3.82,Orta Potansiyel,93.2,67.43,58.0,64.91,7.89,59.65,70.07,54.61,73.36,58.33,68.09
aksu_pinarli,PINARLI,Aksu,57.0451973681008,89.91,65.03,7.98,Yuksek Potansiyel,94.52,86.29,88.27,86.62,25.55,83.0,58.88,88.93,84.21,85.75,91.12
aksu_solak,SOLAK,Aksu,38.19723684174694,27.3,35.93,-2.27,Dusuk Potansiyel,75.0,2.08,60.96,66.56,19.08,71.93,99.89,67.0,60.96,88.16,54.61
aksu_sogucaksu,SOĞUCAKSU,Aksu,42.18636842087466,79.5,48.09,5.9,Yuksek Potansiyel,92.76,70.29,80.59,83.77,10.75,79.71,57.89,82.68,91.56,75.33,80.15
aksu_topalli,TOPALLI,Aksu,39.27097850243207,67.11,42.69,3.42,Orta Potansiyel,82.35,80.7,61.95,65.57,8.11,49.34,66.89,69.96,95.94,51.64,64.47
aksu_yenidumanlar,YENİDUMANLAR,Aksu,17.13613787984975,47.7,16.91,-0.23,Orta Potansiyel,72.7,63.49,56.36,61.29,11.62,40.57,100.0,59.65,58.55,83.66,61.62
