mah_id,education_score,health_score,green_score,quiet_score,safety_score,heat_comfort,transport_score,walkability_score,social_score,nightlight_score,population_balance,daily_needs_score,coastal_proximity,affordability_score,built_growth_score
akseki_aksahap,16.28,29.44,70.94,82.35,94.63,93.53,24.78,8.99,8.33,5.15,20.34,19.96,7.24,10.86,19.08
akseki_alacesme,16.28,29.44,59.87,82.35,89.91,72.92,24.78,11.18,3.78,27.52,9.32,19.96,7.24,26.26,33.88
akseki_asagiasiklar,16.28,29.44,74.23,82.35,64.04,83.44,24.78,4.82,3.78,9.98,13.27,19.96,14.69,13.16,34.43
akseki_bademli,16.28,29.44,49.56,60.64,61.95,94.96,24.78,4.5,45.61,14.04,68.8,49.51,7.24,19.85,9.1
akseki_belenalan,16.28,29.44,52.52,82.35,76.32,83.33,24.78,12.39,13.38,23.14,5.7,19.96,7.24,24.01,36.07
akseki_bucakalan,16.28,29.44,51.21,82.35,58.22,76.21,24.78,23.46,3.78,31.03,14.14,19.96,7.24,35.2,25.55
akseki_bucakkisla,16.28,29.44,65.02,82.35,67.43,87.28,24.78,12.72,46.27,19.19,8.22,19.96,7.24,11.73,1.43
akseki_buyukalan,16.28,29.44,70.5,56.36,58.33,61.07,24.78,54.28,56.25,37.61,98.46,49.51,7.24,46.05,41.12
akseki_ceceler,16.28,29.44,69.52,82.35,67.76,95.29,24.78,4.28,8.77,14.36,25.82,19.96,7.24,17.76,40.57
akseki_cemerler,16.28,29.44,51.54,82.35,56.8,55.92,24.78,30.15,12.83,19.41,20.94,19.96,14.58,23.03,43.31
akseki_cendeve,16.28,29.44,68.53,82.35,75.33,80.15,24.78,14.47,3.78,6.14,16.89,19.96,7.24,1.1,5.59
akseki_cevizli,57.46,66.67,96.38,61.62,64.25,90.57,56.3,47.59,55.48,32.57,99.89,64.47,7.24,44.3,47.15
akseki_demirciler,91.83,81.09,19.96,21.38,38.16,51.97,61.95,87.39,77.41,79.71,79.06,77.63,7.24,80.7,73.14
akseki_degirmenlik,16.28,29.44,67.76,82.35,69.08,99.56,24.78,5.26,20.72,10.96,56.3,19.96,7.24,33.55,39.58
akseki_dutluca,36.57,29.44,29.61,82.35,54.28,69.96,24.78,29.71,3.78,49.67,19.96,42.54,7.24,22.26,13.38
akseki_dikmen,16.28,29.44,61.07,82.35,70.18,95.18,24.78,2.19,9.87,5.26,11.95,19.96,7.24,9.87,29.93
akseki_emirasiklar,16.28,29.44,75.77,82.35,59.98,56.14,24.78,24.56,41.34,10.75,10.75,19.96,7.24,27.3,24.12
akseki_erenyaka,16.28,29.44,68.64,82.35,85.64,86.29,24.78,2.74,3.78,15.02,21.66,19.96,15.68,25.6,34.54
akseki_fakilar,77.8,75.66,42.65,82.35,70.72,41.89,57.13,80.7,56.8,71.93,38.76,58.28,7.24,75.6,71.27
akseki_geris,16.28,29.44,87.17,82.35,99.23,95.07,24.78,28.73,26.21,1.54,22.7,19.96,7.24,36.29,19.41
akseki_gumusdamla,16.28,29.44,39.25,82.35,78.62,97.26,24.78,2.63,3.78,0.11,52.19,19.96,7.24,23.9,36.4
